datetime,y
9/13/2013,9.18
9/16/2013,9.18
9/17/2013,8.89
9/18/2013,8.88
9/23/2013,9.05
9/24/2013,8.99
9/25/2013,8.66
9/26/2013,8.48
9/27/2013,8.44
9/30/2013,8.56
10/8/2013,8.67
10/9/2013,9.09
10/10/2013,9.16
10/11/2013,9.09
10/14/2013,9.62
10/15/2013,9.53
10/16/2013,9.19
10/17/2013,9.67
10/18/2013,10.01
10/21/2013,10.22
10/22/2013,10.11
10/23/2013,9.61
10/24/2013,9.65
10/25/2013,9.43
10/28/2013,9.39
10/29/2013,9.16
10/30/2013,9.28
10/31/2013,8.87
11/1/2013,8.9
11/4/2013,8.9
11/5/2013,8.95
11/6/2013,8.79
11/7/2013,8.75
11/8/2013,8.67
11/11/2013,8.79
11/12/2013,8.9
11/13/2013,8.61
11/14/2013,8.71
11/15/2013,8.91
11/18/2013,9.12
11/19/2013,9.05
11/20/2013,9.1
11/21/2013,8.95
11/22/2013,8.95
11/25/2013,9.04
11/26/2013,8.95
11/27/2013,8.98
11/28/2013,9.23
11/29/2013,9.16
12/2/2013,8.74
12/3/2013,8.91
12/4/2013,9.06
12/5/2013,9.08
12/6/2013,9.07
12/9/2013,9.12
12/10/2013,9.15
12/11/2013,8.92
12/12/2013,8.87
12/13/2013,8.82
12/16/2013,8.64
12/17/2013,8.49
12/18/2013,8.42
12/19/2013,8.39
12/20/2013,8.2
12/23/2013,8.22
12/24/2013,8
12/25/2013,8.14
12/26/2013,7.92
12/27/2013,8.01
12/30/2013,8.05
12/31/2013,8.14
1/2/2014,8.15
1/3/2014,8.02
1/6/2014,7.57
1/7/2014,7.53
1/8/2014,7.51
1/9/2014,7.39
1/10/2014,7.22
1/13/2014,7.15
1/14/2014,7.87
1/15/2014,7.83
1/16/2014,7.83
1/17/2014,7.56
1/20/2014,7.59
1/21/2014,7.78
1/22/2014,7.93
1/23/2014,8.06
1/24/2014,8.04
1/27/2014,7.87
1/28/2014,8.08
1/29/2014,8.06
1/30/2014,7.94
2/7/2014,8.08
2/10/2014,8.31
2/11/2014,8.25
2/12/2014,8.45
2/13/2014,8.24
2/14/2014,8.3
2/17/2014,8.45
2/18/2014,8.44
2/19/2014,8.36
2/20/2014,8.13
2/21/2014,7.99
2/24/2014,7.8
2/25/2014,7.63
2/26/2014,7.68
2/27/2014,7.75
2/28/2014,7.98
3/3/2014,8.04
3/4/2014,8.08
3/5/2014,7.99
3/6/2014,7.9
3/7/2014,7.83
3/10/2014,7.51
3/11/2014,7.52
3/12/2014,7.58
3/13/2014,7.6
3/14/2014,7.49
3/17/2014,7.63
3/18/2014,7.63
3/19/2014,7.73
3/20/2014,7.52
3/21/2014,7.72
3/25/2014,8
3/26/2014,7.96
3/27/2014,7.9
3/28/2014,7.91
3/31/2014,7.88
4/1/2014,7.98
4/2/2014,8.02
4/3/2014,7.9
4/4/2014,7.92
4/8/2014,8.07
4/9/2014,8.07
4/10/2014,8.09
4/11/2014,8.03
4/14/2014,8.07
4/15/2014,7.9
4/16/2014,7.83
4/17/2014,7.75
4/18/2014,7.8
4/21/2014,7.66
4/22/2014,7.61
4/23/2014,7.56
4/24/2014,7.51
4/25/2014,7.4
4/28/2014,7.44
4/29/2014,7.64
4/30/2014,7.6
5/5/2014,7.61
5/6/2014,7.66
5/7/2014,7.55
5/8/2014,7.21
5/9/2014,7.23
5/12/2014,7.38
5/13/2014,7.34
5/14/2014,7.34
5/15/2014,7.2
5/16/2014,7.17
5/19/2014,7.15
5/20/2014,7.18
5/21/2014,7.19
5/22/2014,7.16
5/23/2014,7.18
5/26/2014,7.24
5/27/2014,7.16
5/28/2014,7.25
5/29/2014,7.16
5/30/2014,7.16
6/3/2014,7.14
6/4/2014,7.06
6/5/2014,7.11
6/6/2014,7.05
6/9/2014,7.01
6/10/2014,7.05
6/11/2014,7.05
6/12/2014,7.02
6/13/2014,7.11
6/16/2014,7.11
6/17/2014,7.03
6/18/2014,7.01
6/19/2014,6.67
6/20/2014,6.73
6/23/2014,6.74
6/24/2014,6.76
6/25/2014,6.83
6/26/2014,6.8
6/27/2014,6.81
6/30/2014,6.83
7/1/2014,6.92
7/2/2014,6.87
7/3/2014,6.9
7/4/2014,6.88
7/7/2014,6.94
7/8/2014,6.91
7/9/2014,6.78
7/10/2014,6.74
7/11/2014,6.77
7/14/2014,6.94
7/15/2014,6.95
7/16/2014,6.94
7/17/2014,6.87
7/18/2014,6.88
7/21/2014,6.84
7/22/2014,6.94
7/23/2014,6.95
7/24/2014,7.08
7/25/2014,7.1
7/28/2014,7.19
7/29/2014,7.21
7/30/2014,7.16
7/31/2014,7.43
8/1/2014,7.28
8/4/2014,7.43
8/5/2014,7.41
8/6/2014,7.52
8/7/2014,7.39
8/8/2014,7.38
8/11/2014,7.46
8/12/2014,7.46
8/13/2014,7.42
8/14/2014,7.34
8/15/2014,7.58
8/18/2014,7.65
8/19/2014,7.59
8/20/2014,7.62
8/21/2014,7.54
8/22/2014,7.55
8/25/2014,7.43
8/26/2014,7.33
8/27/2014,7.41
8/28/2014,7.3
8/29/2014,7.36
9/1/2014,7.43
9/2/2014,7.5
9/3/2014,7.6
9/4/2014,7.62
9/5/2014,7.65
9/9/2014,7.72
9/10/2014,7.65
9/11/2014,7.7
9/12/2014,7.86
9/15/2014,7.86
9/16/2014,7.58
9/17/2014,7.69
9/18/2014,7.64
9/19/2014,7.69
9/22/2014,7.57
9/23/2014,7.64
9/24/2014,7.81
9/25/2014,7.77
9/26/2014,7.82
